count,country_1,lin,sum,percentage,month
2,New Zealand,B.31,234,0.8547008547008548,2020-01
1,New Zealand,B.6,234,0.4273504273504274,2020-01
19,New Zealand,C.12,234,8.11965811965812,2020-01
1,New Zealand,B.1.314,234,0.4273504273504274,2020-01
1,New Zealand,B.1.589,234,0.4273504273504274,2020-01
3,New Zealand,B.1.234,234,1.282051282051282,2020-01
1,New Zealand,B.35,234,0.4273504273504274,2020-01
2,New Zealand,B.1.111,234,0.8547008547008548,2020-01
1,New Zealand,A.3,234,0.4273504273504274,2020-01
11,New Zealand,B.1.23,234,4.700854700854701,2020-01
2,New Zealand,B,234,0.8547008547008548,2020-01
24,New Zealand,B.1,234,10.256410256410255,2020-01
30,New Zealand,B.1.1,234,12.82051282051282,2020-01
7,New Zealand,B.1.1.1,234,2.9914529914529915,2020-01
1,New Zealand,B.1.1.133,234,0.4273504273504274,2020-01
1,New Zealand,A.2.2,234,0.4273504273504274,2020-01
4,New Zealand,B.1.1.142,234,1.7094017094017095,2020-01
1,New Zealand,B.1.1.28,234,0.4273504273504274,2020-01
13,New Zealand,B.1.1.29,234,5.555555555555555,2020-01
1,New Zealand,B.1.1.306,234,0.4273504273504274,2020-01
2,New Zealand,B.1.1.33,234,0.8547008547008548,2020-01
1,New Zealand,B.1.1.409,234,0.4273504273504274,2020-01
1,New Zealand,B.1.1.63,234,0.4273504273504274,2020-01
3,New Zealand,B.1.1.89,234,1.282051282051282,2020-01
1,New Zealand,B.1.1.257,234,0.4273504273504274,2020-01
4,New Zealand,A.1,234,1.7094017094017095,2020-01
1,Niger,B.1,1,100.0,2020-01
1,Nigeria,B.1,16,6.25,2020-01
6,Nigeria,B.1.1,16,37.5,2020-01
1,Nigeria,B.1.1.10,16,6.25,2020-01
1,Nigeria,B.1.1.29,16,6.25,2020-01
2,Nigeria,B.1.1.409,16,12.5,2020-01
1,Nigeria,B.1.1.487,16,6.25,2020-01
1,Nigeria,B.1.525,16,6.25,2020-01
1,Nigeria,B.1.8,16,6.25,2020-01
2,Nigeria,L.3,16,12.5,2020-01
1,Norway,B.1.1.333,1,100.0,2020-01
1,Papua New Guinea,B.6,2,50.0,2020-01
1,Papua New Guinea,B.6.8,2,50.0,2020-01
1,Philippines,B.1.1.263,7,14.285714285714285,2020-01
3,Philippines,B.1.36.10,7,42.857142857142854,2020-01
3,Philippines,None,7,42.857142857142854,2020-01
1,Poland,B.1.221,2,50.0,2020-01
1,Poland,B.1.93,2,50.0,2020-01
14,Qatar,A,15,93.33333333333333,2020-01
1,Qatar,B.1,15,6.666666666666667,2020-01
1,Romania,B.1.234,1,100.0,2020-01
4,Russia,B.1.1,12,33.33333333333333,2020-01
1,Russia,B.1.1.294,12,8.333333333333332,2020-01
3,Russia,B.1.1.317,12,25.0,2020-01
1,Russia,B.1.1.336,12,8.333333333333332,2020-01
3,Russia,B.1.320,12,25.0,2020-01
2,Sierra Leone,R.1,2,100.0,2020-01
1,Singapore,B.6.6,13,7.6923076923076925,2020-01
2,Singapore,B.1.36.10,13,15.384615384615385,2020-01
1,Singapore,B.28,13,7.6923076923076925,2020-01
3,Singapore,A,13,23.076923076923077,2020-01
